,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,147.92,70.63,275.05,87,100,3.27,RU,1597342597
1,Rikitea,-134.97,-23.12,293.82,69,0,7.3,PF,1597342891
2,Albany,-73.97,42.6,301.48,46,100,2.56,US,1597342461
3,Mataura,168.86,-46.19,274.82,89,1,0.71,NZ,1597342892
4,Betanzos,-8.21,43.28,294.15,68,20,4.1,ES,1597342892
5,Saint Paul Harbor,-152.41,57.79,285.15,81,90,1.76,US,1597342892
6,Bajil,43.29,15.06,305.77,59,64,1.96,YE,1597342892
7,Ushuaia,-68.3,-54.8,273.15,87,40,11.8,AR,1597342597
8,Bethel,-73.41,41.37,301.48,61,75,1.96,US,1597342775
9,Anito,125.29,12.45,298.17,88,94,2.21,PH,1597342893
10,Farrukhnagar,78.2,17.08,295.15,100,90,3.6,IN,1597342893
11,Nantucket,-70.1,41.28,301.15,65,40,4.1,US,1597342893
12,Shunyi,116.65,40.12,302.04,94,40,1.0,CN,1597342893
13,Camacha,-16.33,33.08,296.15,69,20,5.7,PT,1597342894
14,Punta Arenas,-70.92,-53.15,276.15,55,75,3.6,CL,1597342595
15,Qaanaaq,-69.36,77.48,277.44,71,84,3.85,GL,1597342894
16,Saint Anthony,-93.22,45.02,302.59,69,75,6.2,US,1597342659
17,Bluff,168.33,-46.6,274.82,89,42,1.12,NZ,1597342597
18,Tuy Hoa,109.3,13.08,298.11,86,100,2.22,VN,1597342895
19,Jamestown,-79.24,42.1,302.04,44,1,3.6,US,1597342895
20,Kerema,145.78,-7.96,298.35,89,99,2.54,PG,1597342895
21,Kapaa,-159.32,22.08,300.15,78,40,5.1,US,1597342896
22,Castro,-50.01,-24.79,290.04,85,100,2.19,BR,1597342688
23,Cabedelo,-34.83,-6.98,296.15,94,75,8.2,BR,1597342896
24,Upernavik,-56.15,72.79,277.5,90,100,12.45,GL,1597342896
25,Taltal,-70.48,-25.4,288.5,63,13,3.47,CL,1597342896
26,Lüderitz,15.16,-26.65,291.0,47,0,9.28,NA,1597342896
27,Port Elizabeth,25.57,-33.92,287.15,71,17,6.2,ZA,1597342897
28,Sahuaripa,-109.23,29.05,305.59,52,18,2.13,MX,1597342897
29,Provideniya,-173.3,64.38,282.3,85,87,2.48,RU,1597342897
30,Calvinia,19.78,-31.47,283.07,53,0,1.58,ZA,1597342897
31,Parrita,-84.32,9.52,296.15,73,75,5.7,CR,1597342688
32,Nea Kios,22.74,37.59,301.48,52,56,0.45,GR,1597342898
33,Blind River,-82.96,46.18,298.15,61,1,1.6,CA,1597342898
34,Ilulissat,-51.1,69.22,281.15,61,75,2.1,GL,1597342596
35,Asău,26.4,46.43,290.93,82,24,0.97,RO,1597342899
36,Tuatapere,167.68,-46.13,274.82,89,4,1.64,NZ,1597342899
37,Busselton,115.33,-33.65,279.26,98,10,2.3,AU,1597342899
38,Antofagasta,-70.4,-23.65,289.15,63,20,6.7,CL,1597342604
39,Thompson,-97.86,55.74,294.15,77,90,2.1,CA,1597342899
40,Tautira,-149.15,-17.73,299.15,78,75,1.5,PF,1597342899
41,Cherskiy,161.3,68.75,277.66,93,100,2.33,RU,1597342900
42,Porto Santo,-16.34,33.07,296.15,69,20,5.7,PT,1597342900
43,Cabo San Lucas,-109.91,22.89,305.15,55,20,4.6,MX,1597342833
44,Vaini,-175.2,-21.2,291.15,100,40,1.0,TO,1597342900
45,Cape Town,18.42,-33.93,287.04,76,20,3.1,ZA,1597342617
46,Hegang,130.37,47.4,291.04,100,100,6.99,CN,1597342901
47,Cururupu,-44.87,-1.83,303.36,58,59,3.28,BR,1597342901
48,Avarua,-159.78,-21.21,296.15,60,98,6.2,CK,1597342596
49,Severo-Kuril'sk,156.12,50.68,283.42,86,100,4.38,RU,1597342595
50,Barrow,-156.79,71.29,282.15,81,20,5.1,US,1597342901
51,Maniitsoq,-52.9,65.42,280.54,70,0,4.11,GL,1597342902
52,Dīglūr,77.6,18.55,295.74,92,100,7.8,IN,1597342902
53,Hilo,-155.09,19.73,299.15,61,90,0.26,US,1597342902
54,Świnoujście,14.25,53.91,297.59,50,0,0.45,PL,1597342902
55,Saskylakh,114.08,71.92,275.47,89,78,2.44,RU,1597342902
56,Usinsk,57.53,65.99,280.65,84,95,3.48,RU,1597342903
57,Springbok,17.89,-29.66,283.45,48,0,1.2,ZA,1597342903
58,Sabang,95.32,5.89,301.71,71,100,3.45,ID,1597342903
59,Hermanus,19.23,-34.42,282.59,86,1,6.57,ZA,1597342903
60,Bredasdorp,20.04,-34.53,285.15,76,0,2.6,ZA,1597342903
61,Guerrero Negro,-114.06,27.98,302.2,33,6,5.74,MX,1597342904
62,George Town,100.34,5.41,298.15,94,40,2.1,MY,1597342764
63,San Vicente,-54.13,-26.62,289.67,93,97,2.39,AR,1597342904
64,Rosarito,-117.03,32.33,303.15,45,75,4.1,MX,1597342904
65,Grand Gaube,57.66,-20.01,294.82,74,7,3.13,MU,1597342904
66,San Andrés,-81.7,12.58,303.15,79,90,6.2,CO,1597342905
67,Shizunai-furukawachō,142.37,42.33,291.49,90,73,2.54,JP,1597342905
68,Ancud,-73.82,-41.87,283.71,87,75,2.6,CL,1597342905
69,Atuona,-139.03,-9.8,298.55,79,19,7.98,PF,1597342506
70,Borba,-59.59,-4.39,310.83,31,96,2.47,BR,1597342905
71,Salalah,54.09,17.02,298.15,100,90,1.0,OM,1597342814
72,Hobart,147.33,-42.88,283.71,93,90,2.6,AU,1597342597
73,Novoagansk,76.66,61.94,286.2,86,99,5.66,RU,1597342906
74,Smithers,-127.17,54.78,284.15,66,40,1.5,CA,1597342906
75,Conceição do Araguaia,-49.26,-8.26,311.13,18,0,3.49,BR,1597342907
76,Nhulunbuy,136.77,-12.23,293.15,94,68,0.5,AU,1597342907
